sample	interactor	replicate	condition	tag1	tag2
1	SATB1	1	+HIS	1	4
2	SATB1	2	+HIS	2	4
3	SATB1	3	+HIS	3	4
4	SUMO1	1	+HIS	4	4
5	SUMO1	2	+HIS	5	4
6	SUMO1	3	+HIS	6	4
7	ZBED1	1	+HIS	7	4
8	ZBED1	2	+HIS	8	4
9	ZBED1	3	+HIS	9	4
10	RNF40	1	+HIS	10	4
11	RNF40	2	+HIS	11	4
12	RNF40	3	+HIS	12	4
13	SATB1	1	-HIS	1	5
14	SATB1	2	-HIS	2	5
15	SATB1	3	-HIS	3	5
16	SUMO1	1	-HIS	4	5
17	SUMO1	2	-HIS	5	5
18	SUMO1	3	-HIS	6	5
19	ZBED1	1	-HIS	7	5
20	ZBED1	2	-HIS	8	5
21	ZBED1	3	-HIS	9	5
22	RNF40	1	-HIS	10	5
23	RNF40	2	-HIS	11	5
24	RNF40	3	-HIS	12	5
25	SATB1	1	+3AT	1	6
26	SATB1	2	+3AT	2	6
27	SATB1	3	+3AT	3	6
28	SUMO1	1	+3AT	4	6
29	SUMO1	2	+3AT	5	6
30	SUMO1	3	+3AT	6	6
31	ZBED1	1	+3AT	7	6
32	ZBED1	2	+3AT	8	6
33	ZBED1	3	+3AT	9	6
34	RNF40	1	+3AT	10	6
35	RNF40	2	+3AT	11	6
36	RNF40	3	+3AT	12	6
